Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3939,1981-2010,46,53.2,82.2,121.6,169.8,199.9,210.9,229.9,215.5,159.5,105.3,58.4,42.2,1648.2
3946,1981-2010,42,50.0,75.0,105.0,160.0,191.0,183.0,208.0,200.0,144.0,110.0,50.0,40.0,1516.0
3955,1981-2010,46,40.3,59.7,108.2,175.8,229.6,205.4,223.9,206.7,141.2,104.2,50.0,32.9,1577.9
3974,1981-2010,46,41.4,73.7,109.0,168.6,205.6,204.7,225.2,211.5,151.8,104.6,44.4,30.2,1570.6
3975,1981-2010,42,45.0,76.0,110.0,167.0,204.0,201.0,222.0,210.0,153.0,107.0,48.0,34.0,1577.0
3988,1981-2010,46,55.0,77.7,121.4,189.4,233.1,222.9,244.7,228.0,160.4,122.8,59.1,44.0,1758.5
4005,1981-2010,46,67.9,88.2,121.7,164.0,199.1,193.7,224.7,206.4,151.2,120.0,67.8,49.8,1654.5
4018,1981-2010,46,68.6,88.8,127.6,169.0,205.5,208.2,234.6,216.5,158.6,115.7,66.8,50.3,1710.3
4024,1981-2010,42,46.0,65.0,120.0,193.0,258.0,235.0,256.0,221.0,155.0,112.0,53.0,37.0,1751.0
4029,1981-2010,46,43.2,70.0,105.7,163.8,205.1,189.3,202.3,188.2,135.0,103.2,49.9,34.6,1490.3
4032,1981-2010,42,55.0,73.0,113.0,162.0,204.0,190.0,205.0,196.0,144.0,111.0,58.0,45.0,1556.0
4036,1981-2010,42,53.0,74.0,112.0,170.0,212.0,204.0,218.0,205.0,145.0,108.0,53.0,41.0,1595.0
4038,1981-2010,46,41.6,63.6,100.4,164.4,215.9,191.0,208.8,192.7,135.8,103.1,49.5,33.8,1500.6
4039,1981-2010,42,40.0,62.0,99.0,163.0,215.0,190.0,208.0,191.0,135.0,102.0,48.0,33.0,1486.0
4053,1981-2010,46,53.2,81.0,128.1,170.8,203.6,221.2,244.8,223.4,158.7,103.1,56.2,40.1,1684.2
4063,1981-2010,46,45.5,72.4,106.9,162.8,200.3,182.8,196.6,187.5,136.4,103.9,49.4,37.2,1481.6
4066,1981-2010,46,70.3,87.6,128.8,165.7,198.0,198.4,229.0,212.8,152.7,115.6,67.9,52.2,1678.8
4077,1981-2010,46,46.6,73.9,116.0,169.0,199.1,216.4,236.0,219.9,156.2,98.3,51.0,33.1,1615.6
4079,1981-2010,46,52.3,72.9,110.7,168.7,208.9,200.8,217.2,206.1,145.1,108.4,52.7,39.9,1583.6
4091,1981-2010,46,100.0,106.8,126.8,155.2,181.2,166.5,202.9,195.4,157.2,147.1,100.0,81.2,1720.2
4094,1981-2010,46,55.9,84.8,131.9,172.7,206.1,217.4,243.5,222.7,161.4,108.0,59.0,41.7,1704.9
4100,1981-2010,46,50.5,73.7,108.1,161.4,194.6,186.7,201.9,185.7,134.7,105.8,53.6,40.4,1497.1
4127,1981-2010,42,48.0,76.0,104.0,157.0,177.0,173.0,190.0,182.0,133.0,100.0,49.0,37.0,1426.0
4149,1981-2010,46,60.8,76.6,104.8,160.0,194.9,182.8,206.0,199.4,141.8,111.8,58.0,52.3,1549.2
4152,1981-2010,46,64.3,85.6,122.9,158.3,188.0,208.1,236.4,218.0,162.6,118.2,69.0,47.1,1678.6
4154,1981-2010,42,56.0,79.0,110.0,160.0,190.0,185.0,200.0,188.0,138.0,107.0,58.0,46.0,1517.0
4156,1981-2010,46,41.8,64.0,111.0,177.9,231.3,208.7,225.5,210.5,145.2,104.1,54.1,35.5,1609.7
4160,1981-2010,42,63.0,85.0,122.0,164.0,195.0,209.0,230.0,217.0,160.0,112.0,67.0,48.0,1672.0
4166,1981-2010,46,60.8,83.7,121.7,163.9,195.7,211.2,233.4,218.2,160.8,109.5,63.3,44.2,1666.4
4174,1981-2010,42,49.0,74.0,108.0,165.0,203.0,190.0,205.0,187.0,135.0,108.0,53.0,39.0,1516.0
4177,1981-2010,42,50.0,81.0,124.0,176.0,209.0,223.0,245.0,229.0,165.0,104.0,57.0,38.0,1701.0
4189,1981-2010,46,58.3,84.5,124.0,164.9,195.1,208.2,231.7,215.6,157.6,105.1,61.4,42.7,1649.0
4233,1981-2010,46,44.5,74.5,110.0,167.4,199.8,199.3,215.7,203.7,145.4,98.7,44.2,34.2,1537.3
4240,1981-2010,46,63.2,83.1,117.3,161.6,190.1,190.3,205.9,193.6,148.0,115.8,68.6,51.1,1588.6
4275,1981-2010,46,43.0,68.2,106.3,169.2,214.8,194.7,211.0,196.4,142.1,105.7,49.3,34.2,1535.0
4278,1981-2010,46,48.7,78.9,115.4,172.0,207.1,208.4,228.3,214.7,154.1,105.7,49.1,36.0,1618.5
4280,1981-2010,42,50.0,80.0,117.0,171.0,206.0,207.0,227.0,213.0,155.0,106.0,50.0,37.0,1619.0
4287,1981-2010,46,50.2,78.9,118.2,170.9,207.2,212.1,232.8,217.5,159.1,106.3,52.3,37.9,1643.3
4288,1981-2010,46,47.1,73.0,107.8,163.1,202.6,191.9,205.3,190.1,136.9,104.0,50.9,37.6,1510.2
4294,1981-2010,46,61.7,81.5,121.6,163.2,198.3,213.4,235.2,219.7,161.0,110.0,64.3,46.3,1676.3
4300,1981-2010,42,67.0,86.0,123.0,160.0,195.0,213.0,235.0,222.0,165.0,120.0,72.0,52.0,1710.0
4320,1981-2010,46,41.4,63.3,108.9,175.5,229.3,205.8,222.7,207.4,143.1,105.3,50.6,33.1,1586.4
4323,1981-2010,46,49.7,79.3,120.8,171.5,200.7,207.3,224.5,211.3,154.3,100.7,54.8,40.6,1615.5
4327,1981-2010,46,62.3,87.8,119.7,167.0,206.9,199.9,220.9,209.2,157.2,119.8,61.2,53.2,1665.1
4330,1981-2010,46,63.7,85.9,122.3,166.1,198.4,212.8,233.1,218.8,159.6,111.8,67.2,48.5,1688.4
4332,1981-2010,46,39.6,65.2,101.5,161.3,195.9,190.4,211.9,197.2,137.4,97.0,40.1,28.5,1465.9
4339,1981-2010,46,43.7,76.3,118.5,168.3,198.1,212.0,230.8,209.4,150.9,99.6,47.5,33.2,1588.3
4347,1981-2010,46,44.4,67.3,102.1,155.7,192.4,189.4,201.0,190.0,133.6,95.1,43.3,33.7,1448.0
4349,1981-2010,42,57.0,81.0,121.0,170.0,203.0,217.0,238.0,222.0,159.0,106.0,59.0,42.0,1675.0
4364,1981-2010,46,42.7,67.4,102.2,161.1,202.6,196.3,207.4,193.9,135.2,98.4,42.0,32.8,1482.0
4367,1981-2010,46,44.7,70.5,104.1,160.1,200.1,186.5,200.4,191.2,135.5,99.7,47.1,35.0,1474.9
4373,1981-2010,46,48.1,72.1,112.2,176.2,226.8,212.3,224.3,207.9,147.6,112.2,52.9,37.9,1630.4
4377,1981-2010,46,45.9,75.2,107.7,164.6,200.3,200.2,216.6,202.5,144.7,99.7,45.2,36.2,1538.9
4391,1981-2010,46,45.8,69.5,113.5,180.0,230.2,205.4,221.9,206.9,144.8,105.4,53.7,36.8,1613.9
4396,1981-2010,46,48.7,80.4,119.3,170.6,199.5,210.4,230.1,212.7,155.7,102.0,53.1,40.0,1622.4
4397,1981-2010,46,47.6,80.2,118.9,170.3,199.3,209.7,229.4,212.3,155.1,101.9,52.1,38.9,1615.7
4401,1981-2010,46,48.8,74.4,108.9,163.1,199.2,194.4,206.4,191.3,137.1,104.8,50.9,38.2,1517.6
4419,1981-2010,46,54.3,80.5,126.5,165.7,194.4,219.7,240.3,223.0,161.2,107.4,59.7,41.6,1674.4
4425,1981-2010,46,49.7,82.9,120.4,171.0,199.6,211.5,231.9,213.7,158.2,103.5,54.0,42.1,1638.4
4433,1981-2010,46,60.0,85.4,123.6,166.4,198.6,211.0,234.8,216.2,156.6,107.4,60.9,44.7,1665.6
4436,1981-2010,46,44.9,70.7,102.6,159.9,191.6,192.9,206.6,192.6,135.6,93.0,42.2,33.0,1465.5
4438,1981-2010,46,49.3,79.9,110.5,168.9,206.6,206.2,223.7,211.9,153.0,105.7,48.7,38.0,1602.6
4445,1981-2010,42,53.0,75.0,98.0,154.0,192.0,182.0,193.0,185.0,129.0,98.0,45.0,45.0,1449.0
4464,1981-2010,42,56.0,77.0,109.0,163.0,200.0,188.0,211.0,202.0,147.0,110.0,54.0,43.0,1560.0
4468,1981-2010,46,43.7,66.0,110.8,176.9,233.6,210.6,226.3,209.7,142.9,100.3,55.3,38.8,1614.9
4474,1981-2010,46,40.2,72.3,116.7,170.4,198.3,207.2,221.6,205.7,145.6,92.6,45.7,31.5,1547.9
4479,1981-2010,46,43.5,73.6,110.0,167.4,199.8,200.3,216.7,203.7,145.5,97.9,43.2,33.2,1534.8
4480,1981-2010,42,39.0,71.0,109.0,170.0,202.0,204.0,220.0,206.0,145.0,96.0,39.0,29.0,1530.0
4484,1981-2010,46,41.1,65.2,107.0,168.8,216.5,193.8,212.5,198.2,142.7,105.1,48.7,32.2,1531.8
4485,1981-2010,42,40.0,69.0,103.0,162.0,198.0,197.0,213.0,199.0,139.0,95.0,39.0,30.0,1484.0
4489,1981-2010,46,50.2,70.3,105.4,159.5,201.9,195.7,205.1,192.6,131.6,100.9,45.5,40.1,1498.9
4490,1981-2010,46,44.9,78.1,119.0,172.6,201.3,213.5,234.1,214.6,154.7,99.7,49.5,36.2,1618.3
4505,1981-2010,46,62.9,79.3,105.6,156.5,190.4,176.9,198.9,196.0,145.5,116.6,61.1,51.8,1541.6
4508,1981-2010,46,54.3,79.9,115.4,158.5,183.5,187.6,204.3,191.0,146.5,106.7,59.9,43.9,1531.4
4548,1981-2010,42,41.0,64.0,98.0,159.0,198.0,192.0,211.0,202.0,139.0,97.0,41.0,31.0,1473.0
4557,1981-2010,46,61.7,83.0,125.2,162.4,193.5,214.9,239.2,221.9,161.4,112.2,66.2,47.7,1689.2
4559,1981-2010,42,45.0,78.0,115.0,171.0,209.0,205.0,225.0,206.0,148.0,108.0,46.0,37.0,1593.0
4571,1981-2010,46,51.0,73.2,102.7,155.6,195.6,188.3,198.4,188.9,136.7,102.0,48.2,41.0,1481.5
4576,1981-2010,46,50.5,79.5,115.7,171.4,207.5,208.7,228.0,214.4,155.5,106.8,51.4,37.5,1626.8
4581,1981-2010,46,56.7,80.2,117.7,169.3,204.0,216.1,238.3,220.4,157.4,104.9,56.0,39.1,1660.2
4582,1981-2010,46,55.3,82.4,120.3,170.4,205.0,212.3,233.8,217.4,160.5,107.1,57.2,40.7,1662.3
4584,1981-2010,46,65.1,92.8,130.9,175.2,217.8,215.5,240.8,220.8,162.3,116.0,62.5,48.8,1748.4
4586,1981-2010,46,47.2,76.4,116.0,167.4,196.5,203.4,219.0,204.1,146.0,96.3,49.0,36.5,1557.8
4592,1981-2010,46,44.5,76.0,113.8,171.4,208.4,206.3,228.0,212.3,151.7,104.3,44.3,34.8,1595.9
4593,1981-2010,46,48.9,71.3,108.3,165.3,208.8,200.3,212.3,199.9,141.0,105.6,49.3,38.2,1549.1
4597,1981-2010,46,67.9,85.6,121.3,152.9,178.3,176.9,212.0,194.0,144.6,117.2,70.5,51.6,1572.7
