Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr,
       642,1981-2010,        46,      42.2,      67.2,     105.5,     167.4,     207.5,     189.8,     202.5,     190.5,     137.2,     103.9,        50,      36.2,    1499.9,
       643,1981-2010,        46,      42.5,      67.7,     106.3,     168.5,     209.2,     190.7,     203.5,     191.1,     137.9,       104,        50,      36.1,    1507.4,
       645,1981-2010,        46,      47.5,      73.1,     108.3,     163.8,     203.6,     189.4,     203.7,     188.6,     137.6,     105.4,      52.7,      38.7,    1512.5,
       650,1981-2010,        46,      50.8,      73.2,     113.8,     179.9,     226.6,     214.3,     231.3,     214.5,     152.7,     115.7,      54.6,      40.2,    1667.7,
       652,1981-2010,        46,      50.2,      80.6,       115,     169.2,       208,     208.6,     227.4,     212.6,     154.3,     109.5,      52.7,      38.1,    1626.2,
       656,1981-2010,        42,        53,        76,       100,       155,       193,       186,       198,       184,       133,       100,        48,        43,      1469,
       660,1981-2010,        46,      48.9,        72,     108.6,     168.9,     214.8,     208.3,     216.4,     203.9,       145,     111.5,      50.1,      36.8,    1585.2,
       661,1981-2010,        46,      49.2,      71.2,     108.8,     169.2,     215.3,     208.7,     216.8,     204.2,     145.4,     111.2,      50.5,        37,    1587.7,
       685,1981-2010,        46,        48,      72.1,     108.8,     165.1,       194,       197,     223.8,     209.6,     153.5,     102.8,      51.3,      37.4,    1563.5,
       699,1981-2010,        46,      45.5,      70.5,     106.8,     169.6,     213.1,     192.8,     206.4,     193.4,     141.8,     107.2,      52.1,      37.9,    1537.1,
       702,1981-2010,        46,      45.5,      69.4,       111,     174.3,     221.6,     197.3,     211.5,     197.1,     141.6,     104.2,      51.9,      36.9,    1562.5,
       703,1981-2010,        46,      42.7,      67.5,     107.1,     169.6,     216.7,     195.4,     212.3,     197.3,       141,     104.6,      50.2,      34.5,      1539,
       704,1981-2010,        42,        43,        67,       107,       169,       216,       195,       212,       197,       141,       105,        50,        35,      1537,
       705,1981-2010,        46,      42.8,      67.5,     107.6,     170.5,       218,     196.2,     213.6,     198.5,     141.4,     104.6,      50.5,      34.4,    1545.6,
       706,1981-2010,        46,      55.9,      79.3,     126.7,     167.1,       197,     221.7,     243.5,     225.9,     161.1,     107.2,      59.3,        42,    1686.6,
       710,1981-2010,        46,        57,        81,       123,     174.9,     207.7,     220.6,     244.1,       229,       167,     111.1,      61.9,      43.1,    1720.5,
       717,1981-2010,        46,      42.5,      72.3,     106.3,     156.7,     188.9,     185.5,     199.2,     187.1,     132.7,        96,      42.5,        32,    1441.7,
       727,1981-2010,        46,      43.9,      78.3,     118.6,     174.2,     208.1,     211.4,     232.8,     219.4,     158.8,     104.7,      48.2,      33.9,    1632.4,
       729,1981-2010,        46,      49.9,      74.5,       107,     159.9,     195.8,     191.9,     207.5,     196.4,     142.3,     101.3,      49.2,      39.4,      1515,
       736,1981-2010,        46,      48.7,      80.1,     117.7,     169.8,       198,     207.7,     227.5,     210.7,     153.7,     103.4,      53.7,      39.6,    1610.5,
       757,1981-2010,        42,        62,        85,       121,       161,       191,       211,       236,       224,       164,       120,        68,        44,      1687,
       760,1981-2010,        46,        40,      64.2,     107.1,     170.2,     219.6,     199.1,     216.1,       201,     142.3,     104.4,      47.3,      30.9,    1542.2,
       766,1981-2010,        42,        47,        74,       113,       165,       190,       196,       214,       199,       146,        99,        52,        36,      1531,
       769,1981-2010,        42,        48,        72,       105,       161,       206,       192,       208,       194,       138,       106,        52,        37,      1519,
       771,1981-2010,        46,      37.2,        72,     112.6,     174.3,     205.2,     206.6,     223.9,     208.4,     146.3,      96.3,      39.8,        27,    1549.7,
       772,1981-2010,        46,      46.2,      72.6,     114.1,     168.3,     197.4,       215,     234.7,       220,     155.6,      98.7,      50.9,      31.9,    1605.5,
       773,1981-2010,        46,      55.3,      77.7,     114.7,     165.5,     195.2,     210.4,     230.3,     218.4,     157.5,     105.4,      60.6,      40.7,    1631.7,
       793,1981-2010,        46,      51.8,      81.9,     118.1,     168.4,     196.7,     204.8,     224.9,     209.1,     154.4,     106.1,      57.2,      42.5,    1615.9,
       817,1981-2010,        46,      40.2,      70.6,     106.3,     162.8,     192.8,     193.1,     207.8,     193.5,       135,      93.3,      39.3,      29.8,    1464.5,
       840,1981-2010,        42,        62,        78,       104,       157,       190,       177,       200,       195,       144,       112,        57,        51,      1527,
       848,1981-2010,        46,      44.9,      69.1,     107.1,     167.3,     214.4,     200.7,     214.8,     203.3,     144.5,     105.5,      48.8,      34.4,    1554.9,
       851,1981-2010,        46,      44.1,      77.6,     114.3,     170.7,     209.1,     203.6,     224.6,     206.1,     147.8,     107.6,        46,      36.2,    1587.9,
       856,1981-2010,        42,        70,        80,       123,       169,       205,       198,       231,       211,       158,       124,        69,        52,      1690,
       865,1981-2010,        46,      40.4,      69.1,     106.8,     167.9,     211.1,       192,     205.9,     193.2,     136.9,     104.1,      48.2,      32.7,    1508.4,
       876,1981-2010,        46,        63,      80.2,     116.5,     173.8,       219,     207.1,       223,     209.4,     151.3,     121.2,      64.8,        51,    1680.4,
       879,1981-2010,        46,      56.3,      75.1,     119.8,     183.5,     231.2,     219.5,     238.6,     224.3,     158.4,     121.7,      60.8,      47.5,    1736.7,
       881,1981-2010,        46,      50.9,      79.7,     117.9,     168.4,     202.4,       209,     230.4,     214.7,     158.3,       107,      53.9,      38.1,    1630.8,
       888,1981-2010,        46,      58.6,      76.1,     111.7,     168.4,     210.8,     201.2,     222.5,     208.6,     149.6,     115.4,      57.1,      46.6,    1626.7,
       896,1981-2010,        42,        49,        71,       110,       168,       206,       204,       219,       205,       145,       105,        49,        36,      1567,
       917,1981-2010,        42,        47,        80,       120,       176,       208,       214,       232,       218,       158,       103,        50,        37,      1643,
       918,1981-2010,        46,      44.7,      79.1,     119.8,     178.2,     210.6,     215.8,     234.3,     220.8,       158,     101.5,      48.4,      35.6,    1646.8,
       919,1981-2010,        46,      45.4,      79.8,     119.5,     177.6,     209.4,       214,     232.2,     219.6,     157.3,     102.9,      48.4,        36,    1642.1,
       931,1981-2010,        46,      61.6,      88.1,     133.6,     169.6,     203.7,     214.8,     239.1,     220.6,     164.9,     111.6,      65.6,        49,      1722,
       948,1981-2010,        46,      54.5,      74.8,     114.3,     176.6,     221.4,     212.1,     227.7,     212.1,     151.9,     114.4,      56.8,      43.3,      1660,
       953,1981-2010,        42,        52,        82,       117,       171,       199,       208,       229,       212,       156,       110,        59,        42,      1637,
       963,1981-2010,        46,      44.7,      71.8,     107.9,     165.6,     206.9,     190.1,     203.9,     191.6,     139.3,     106.8,      51.4,      37.3,    1517.2,
       964,1981-2010,        46,      41.5,      74.5,     115.1,     164.5,     187.9,     197.2,       214,     195.9,     145.4,      96.3,      47.8,      32.2,    1512.3,
       965,1981-2010,        46,      55.8,      74.9,     112.5,     174.3,       218,     206.5,       226,     211.9,     149.1,     115.7,      56.4,      45.5,    1646.5,
       970,1981-2010,        46,        50,      79.8,     116.1,     170.4,     207.9,     209.4,     228.9,     214.4,       156,       108,      51.7,      37.7,    1630.3,
       979,1981-2010,        46,        43,      73.6,     108.2,     165.9,     193.6,     196.8,     212.8,     197.8,     139.4,      95.2,      43.2,      31.4,      1501,
       982,1981-2010,        46,        54,      79.7,     119.4,     167.5,     202.4,     211.6,     234.4,     214.6,       152,     101.1,      53.3,      39.2,    1629.2,
       983,1981-2010,        42,        55,        79,       120,       168,       203,       212,       235,       215,       152,       101,        54,        39,      1633,
       991,1981-2010,        42,        55,        72,       109,       168,       210,       197,       218,       206,       146,       112,        53,        45,      1591,
       998,1981-2010,        46,      60.2,      78.6,     116.7,       161,     191.4,       207,     222.2,     209.3,     155.9,     100.8,      62.4,      43.8,    1609.2,
      1000,1981-2010,        46,        47,      66.9,     119.4,     189.1,     250.3,     222.6,     240.3,     213.7,     154.4,     110.8,      53.3,      35.5,    1703.3,
      1001,1981-2010,        46,      56.4,      75.4,     115.5,     179.1,     221.7,     210.8,     230.6,     215.9,     154.6,     119.2,        58,      46.3,    1683.3,
      1003,1981-2010,        46,      58.8,      77.6,     114.1,     172.4,     216.2,     205.7,       224,     210.2,     149.9,     117.4,      59.1,      47.6,    1652.9,
      1006,1981-2010,        46,      45.2,      68.5,     111.3,     176.9,     225.8,     208.4,     222.3,     207.5,     147.5,       110,      50.7,      34.7,    1608.9,
      1018,1981-2010,        46,      68.3,      88.7,     128.7,     161.2,       196,     214.6,     239.3,     221.5,     166.2,     115.7,        71,      54.4,    1725.5,
      1032,1981-2010,        46,      48.4,      73.8,     106.9,     161.6,     194.4,     189.2,     203.6,     187.9,     133.7,     103.5,      50.7,        38,    1491.8,
      1047,1981-2010,        46,        56,      73.9,       111,     172.1,     216.9,     202.1,     224.9,       210,     148.3,     115.3,      56.5,      47.7,    1634.6,
      1050,1981-2010,        42,        56,        74,       112,       172,       216,       202,       224,       208,       148,       115,        58,        48,      1633,
      1051,1981-2010,        42,        56,        74,       111,       172,       217,       202,       225,       209,       148,       115,        57,        48,      1634,
      1052,1981-2010,        42,        53,        73,       113,       176,       221,       212,       226,       210,       152,       115,        56,        42,      1649,
      1066,1981-2010,        46,      45.6,      70.7,     105.8,     161.9,     200.7,       196,     207.6,     195.5,     137.4,      99.6,      44.8,      33.5,    1499.2,
      1072,1981-2010,        46,      46.5,      79.4,     121.2,     176.6,     206.7,     218.1,       237,       220,     159.6,     102.7,      51.8,      36.8,    1656.5,
      1073,1981-2010,        46,      48.6,      80.6,     122.3,     176.7,     206.6,     217.2,     236.3,       220,     160.6,     103.8,        54,      38.8,    1665.4,
      1074,1981-2010,        46,      55.7,      74.8,     113.3,     175.1,     219.4,     208.9,     225.2,     210.3,     149.5,     114.9,      56.6,      44.2,      1648,
      1079,1981-2010,        46,        52,      75.6,     110.8,       166,     196.5,     195.6,     208.5,     192.1,     136.6,     106.6,      55.1,      40.3,    1535.6,
      1084,1981-2010,        46,      52.6,      75.5,     110.7,       165,     198.5,     192.4,     207.3,     190.2,     137.2,     108.6,      55.7,      41.5,    1535.2,
      1087,1981-2010,        46,      51.7,      75.2,     110.4,     165.2,     198.9,     193.1,     208.1,       190,     136.3,     108.1,      55.1,      40.8,    1532.8,
      1091,1981-2010,        46,        49,      71.8,     108.8,     163.7,     203.6,     198.1,     212.4,     199.9,     141.3,     102.9,      48.9,      36.7,    1537.1,
      1102,1981-2010,        42,        57,        82,       120,       167,       200,       212,       234,       219,       158,       106,        57,        40,      1652,
